family,setup,side,n,PF,expR,n2023,pf2023,net2023,n2024,pf2024,net2024,profile,stop_mult,rr,min_pf_23_24,stable_score
SWEEP_SHORT|0830_11|SU,SWEEP_SHORT,SHORT,249,0.9324894514767929,-0.04497991967871487,108,1.1564625850340142,10.349999999999998,141,0.7839598997493736,-21.550000000000004,P075_R175,0.75,1.75,0.7839598997493736,1.6682169278618233
SWEEP_LONG|02_06|SU,SWEEP_LONG,LONG,181,0.8230158730158728,-0.12320441988950279,73,0.8432539682539683,-7.900000000000001,108,0.8095238095238095,-14.4,P090_R175,0.9,1.75,0.8095238095238095,1.6664022625624835
EXHAUST_LONG|02_06|SD,EXHAUST_LONG,LONG,604,0.8379995214166063,-0.11208609271523179,322,0.8753702437912959,-27.34999999999999,282,0.7966742252456531,-40.35,P075_R175,0.75,1.75,0.7966742252456531,1.657444092795322
PULLBACK_LONG|02_06|UP,PULLBACK_LONG,LONG,144,0.9219047619047619,-0.05694444444444437,70,1.0931677018633545,4.500000000000005,74,0.7760141093474432,-12.699999999999996,P090_R225,0.9,2.25,0.7760141093474432,1.6560835537918877
EXHAUST_SHORT|02_06|SU,EXHAUST_SHORT,SHORT,735,0.809523809523809,-0.13333333333333333,329,0.8243774574049796,-40.199999999999996,406,0.7976190476190474,-57.800000000000004,P075_R175,0.75,1.75,0.7976190476190474,1.6509523809523807
VWAP_LONG|02_06|UP,VWAP_LONG,LONG,114,0.8904761904761904,-0.08070175438596486,48,0.7782312925170068,-8.149999999999999,66,0.9777777777777784,-1.049999999999994,P075_R225,0.75,2.25,0.7782312925170068,1.6499856784819191
VWAP_SHORT|06_0830|FLAT,VWAP_SHORT,SHORT,35,1.214285714285714,0.12857142857142856,15,1.4166666666666665,3.500000000000001,20,1.079365079365079,0.9999999999999989,P075_R175,0.75,1.75,1.079365079365079,1.649365079365079
VWAP_SHORT|06_0830|FLAT,VWAP_SHORT,SHORT,35,1.214285714285714,0.12857142857142856,15,1.4166666666666665,3.5,20,1.079365079365079,0.9999999999999989,P090_R175,0.9,1.75,1.079365079365079,1.649365079365079
PULLBACK_LONG|06_0830|SU,PULLBACK_LONG,LONG,515,0.8593634344929679,-0.11067961165048543,262,0.9374999999999993,-12.600000000000001,253,0.7820324005891012,-44.39999999999999,P075_R275,0.75,2.75,0.7820324005891012,1.6432945365114313
PULLBACK_LONG|06_0830|UP,PULLBACK_LONG,LONG,117,0.9066666666666667,-0.0628205128205128,53,0.7645502645502648,-8.900000000000002,64,1.0378510378510384,1.5499999999999972,P075_R175,0.75,1.75,0.7645502645502648,1.6425630850630852
